trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'e': 0.9802000000000001, 'a': 0.38}",25,0,-106.34971808310772,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'e': 0.9793000000000001, 'a': 0.38}",20,0,-131.20864255630593,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
46,False,"{'e': 0.97838, 'a': 0.38}",20,0,-114.60694933984368,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
47,False,"{'e': 0.97744, 'a': 0.38}",20,0,-88.0744828294452,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
48,False,"{'e': 0.97648, 'a': 0.38}",20,0,-207.73102255499376,"{0: 6, 1: 3, 2: 6, 3: 3, 4: 2}",0
49,False,"{'e': 0.9755, 'a': 0.38}",30,0,-245.54231280144893,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 5}",0
50,False,"{'e': 0.9745, 'a': 0.38}",25,0,-213.28747198019553,"{0: 9, 1: 2, 2: 11, 3: 1, 4: 2}",0
51,False,"{'e': 0.97348, 'a': 0.38}",25,0,-100.21951346642737,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
52,False,"{'e': 0.97244, 'a': 0.38}",25,0,-122.27843558205271,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
53,False,"{'e': 0.97138, 'a': 0.38}",20,0,-110.05237193900108,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
54,False,"{'e': 0.9703, 'a': 0.38}",20,0,-117.07403984144925,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
55,False,"{'e': 0.9692000000000001, 'a': 0.38}",25,0,-61.35046923369169,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
56,False,"{'e': 0.96808, 'a': 0.38}",25,1,-98.87435906484394,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",1
57,False,"{'e': 0.96694, 'a': 0.38}",25,0,-141.1471189468899,"{0: 12, 1: 8, 2: 3, 3: 0, 4: 2}",0
58,False,"{'e': 0.96578, 'a': 0.38}",25,0,-180.45147562661924,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
59,False,"{'e': 0.9646, 'a': 0.38}",20,0,-81.57737572268995,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
60,False,"{'e': 0.9634, 'a': 0.38}",25,8,-82.8456804993864,"{0: 7, 1: 5, 2: 3, 3: 2, 4: 0}",1
